"TRANSACTION_ID","USER_ID","AMOUNT","CATEGORY","TRANSACTION_TYPE","MERCHANT_NAME","PAYMENT_APP","CITY","DEVICE_TYPE","TRANSACTION_DATETIME","STATUS"
"49","109","1524.07","Shopping","expense","Netflix","PhonePe","Bangalore","iOS","07-MAY-24 01.00.00.000000 PM","success"
"50","100","1635.33","Bills","transfer","Friend Transfer","Paytm","Mumbai","Android","07-MAY-24 04.00.00.000000 PM","failed"
"51","101","2254.15","Travel","expense","Amazon","GPay","Delhi","iOS","07-MAY-24 07.00.00.000000 PM","success"
"52","102","494.9","Entertainment","expense","Swiggy","PhonePe","Chennai","Android","07-MAY-24 10.00.00.000000 PM","success"
"53","103","2628.77","Groceries","expense","Uber","Paytm","Bangalore","iOS","08-MAY-24 01.00.00.000000 AM","success"
"54","104","315.92","Food","expense","Netflix","GPay","Mumbai","Android","08-MAY-24 04.00.00.000000 AM","success"
"55","105","232.79","Shopping","transfer","Friend Transfer","PhonePe","Delhi","iOS","08-MAY-24 07.00.00.000000 AM","success"
"56","106","359.86","Bills","expense","Amazon","Paytm","Chennai","Android","08-MAY-24 10.00.00.000000 AM","success"
"57","107","979.37","Travel","expense","Swiggy","GPay","Bangalore","iOS","08-MAY-24 01.00.00.000000 PM","success"
"58","108","2978.91","Entertainment","expense","Uber","PhonePe","Mumbai","Android","08-MAY-24 04.00.00.000000 PM","success"
"59","109","286.76","Groceries","expense","Netflix","Paytm","Delhi","iOS","08-MAY-24 07.00.00.000000 PM","success"
"60","100","652.62","Food","transfer","Friend Transfer","GPay","Chennai","Android","08-MAY-24 10.00.00.000000 PM","failed"
"61","101","2664.64","Shopping","expense","Amazon","PhonePe","Bangalore","iOS","09-MAY-24 01.00.00.000000 AM","success"
"62","102","1121.62","Bills","expense","Swiggy","Paytm","Mumbai","Android","09-MAY-24 04.00.00.000000 AM","success"
"63","103","749.36","Travel","expense","Uber","GPay","Delhi","iOS","09-MAY-24 07.00.00.000000 AM","success"
"64","104","720.93","Entertainment","expense","Netflix","PhonePe","Chennai","Android","09-MAY-24 10.00.00.000000 AM","success"
"65","105","2210.44","Groceries","transfer","Friend Transfer","Paytm","Bangalore","iOS","09-MAY-24 01.00.00.000000 PM","success"
"66","106","1968.63","Food","expense","Amazon","GPay","Mumbai","Android","09-MAY-24 04.00.00.000000 PM","success"
"67","107","2421.94","Shopping","expense","Swiggy","PhonePe","Delhi","iOS","09-MAY-24 07.00.00.000000 PM","success"
"68","108","2553.06","Bills","expense","Uber","Paytm","Chennai","Android","09-MAY-24 10.00.00.000000 PM","success"
"69","109","466.73","Travel","expense","Netflix","GPay","Bangalore","iOS","10-MAY-24 01.00.00.000000 AM","success"
"70","100","2311.48","Entertainment","transfer","Friend Transfer","PhonePe","Mumbai","Android","10-MAY-24 04.00.00.000000 AM","failed"
"71","101","639.25","Groceries","expense","Amazon","Paytm","Delhi","iOS","10-MAY-24 07.00.00.000000 AM","success"
"72","102","1070.36","Food","expense","Swiggy","GPay","Chennai","Android","10-MAY-24 10.00.00.000000 AM","success"
"73","103","2887.65","Shopping","expense","Uber","PhonePe","Bangalore","iOS","10-MAY-24 01.00.00.000000 PM","success"
"74","104","761.66","Bills","expense","Netflix","Paytm","Mumbai","Android","10-MAY-24 04.00.00.000000 PM","success"
"75","105","1786.72","Travel","transfer","Friend Transfer","GPay","Delhi","iOS","10-MAY-24 07.00.00.000000 PM","success"
"76","106","1488.83","Entertainment","expense","Amazon","PhonePe","Chennai","Android","10-MAY-24 10.00.00.000000 PM","success"
"77","107","1364.93","Groceries","expense","Swiggy","Paytm","Bangalore","iOS","11-MAY-24 01.00.00.000000 AM","success"
"78","108","794.84","Food","expense","Uber","GPay","Mumbai","Android","11-MAY-24 04.00.00.000000 AM","success"
"79","109","1171.76","Shopping","expense","Netflix","PhonePe","Delhi","iOS","11-MAY-24 07.00.00.000000 AM","success"
"80","100","226.66","Bills","transfer","Friend Transfer","Paytm","Chennai","Android","11-MAY-24 10.00.00.000000 AM","failed"
"81","101","1558.16","Travel","expense","Amazon","GPay","Bangalore","iOS","11-MAY-24 01.00.00.000000 PM","success"
"82","102","1011.27","Entertainment","expense","Swiggy","PhonePe","Mumbai","Android","11-MAY-24 04.00.00.000000 PM","success"
"83","103","1703.59","Groceries","expense","Uber","Paytm","Delhi","iOS","11-MAY-24 07.00.00.000000 PM","success"
"84","104","2390.14","Food","expense","Netflix","GPay","Chennai","Android","11-MAY-24 10.00.00.000000 PM","success"
"85","105","2677.15","Shopping","transfer","Friend Transfer","PhonePe","Bangalore","iOS","12-MAY-24 01.00.00.000000 AM","success"
"86","106","778.48","Bills","expense","Amazon","Paytm","Mumbai","Android","12-MAY-24 04.00.00.000000 AM","success"
"87","107","1264.97","Travel","expense","Swiggy","GPay","Delhi","iOS","12-MAY-24 07.00.00.000000 AM","success"
"88","108","2439.32","Entertainment","expense","Uber","PhonePe","Chennai","Android","12-MAY-24 10.00.00.000000 AM","success"
"89","109","1087.55","Groceries","expense","Netflix","Paytm","Bangalore","iOS","12-MAY-24 01.00.00.000000 PM","success"
"90","100","1270.21","Food","transfer","Friend Transfer","GPay","Mumbai","Android","12-MAY-24 04.00.00.000000 PM","failed"
"91","101","52.41","Shopping","expense","Amazon","PhonePe","Delhi","iOS","12-MAY-24 07.00.00.000000 PM","success"
"92","102","2393.73","Bills","expense","Swiggy","Paytm","Chennai","Android","12-MAY-24 10.00.00.000000 PM","success"
"93","103","1307.45","Travel","expense","Uber","GPay","Bangalore","iOS","13-MAY-24 01.00.00.000000 AM","success"
"94","104","1849.68","Entertainment","expense","Netflix","PhonePe","Mumbai","Android","13-MAY-24 04.00.00.000000 AM","success"
"95","105","1084.24","Groceries","transfer","Friend Transfer","Paytm","Delhi","iOS","13-MAY-24 07.00.00.000000 AM","success"
"96","106","352.79","Food","expense","Amazon","GPay","Chennai","Android","13-MAY-24 10.00.00.000000 AM","success"
"97","107","224.71","Shopping","expense","Swiggy","PhonePe","Bangalore","iOS","13-MAY-24 01.00.00.000000 PM","success"
"98","108","1930.28","Bills","expense","Uber","Paytm","Mumbai","Android","13-MAY-24 04.00.00.000000 PM","success"
"99","109","2434.1","Travel","expense","Netflix","GPay","Delhi","iOS","13-MAY-24 07.00.00.000000 PM","success"
"100","100","101.01","Entertainment","transfer","Friend Transfer","PhonePe","Chennai","Android","13-MAY-24 10.00.00.000000 PM","failed"
"101","101","463.15","Groceries","expense","Amazon","Paytm","Bangalore","iOS","14-MAY-24 01.00.00.000000 AM","success"
"102","102","627.93","Food","expense","Swiggy","GPay","Mumbai","Android","14-MAY-24 04.00.00.000000 AM","success"
"103","103","2537.9","Shopping","expense","Uber","PhonePe","Delhi","iOS","14-MAY-24 07.00.00.000000 AM","success"
"104","104","1411.72","Bills","expense","Netflix","Paytm","Chennai","Android","14-MAY-24 10.00.00.000000 AM","success"
"105","105","2346.99","Travel","transfer","Friend Transfer","GPay","Bangalore","iOS","14-MAY-24 01.00.00.000000 PM","success"
"106","106","1040.87","Entertainment","expense","Amazon","PhonePe","Mumbai","Android","14-MAY-24 04.00.00.000000 PM","success"
"107","107","1933.73","Groceries","expense","Swiggy","Paytm","Delhi","iOS","14-MAY-24 07.00.00.000000 PM","success"
"108","108","993.69","Food","expense","Uber","GPay","Chennai","Android","14-MAY-24 10.00.00.000000 PM","success"
"109","109","1060.76","Shopping","expense","Netflix","PhonePe","Bangalore","iOS","15-MAY-24 01.00.00.000000 AM","success"
"110","100","1354.55","Bills","transfer","Friend Transfer","Paytm","Mumbai","Android","15-MAY-24 04.00.00.000000 AM","failed"
"111","101","536.52","Travel","expense","Amazon","GPay","Delhi","iOS","15-MAY-24 07.00.00.000000 AM","success"
"112","102","2487.53","Entertainment","expense","Swiggy","PhonePe","Chennai","Android","15-MAY-24 10.00.00.000000 AM","success"
"113","103","990.19","Groceries","expense","Uber","Paytm","Bangalore","iOS","15-MAY-24 01.00.00.000000 PM","success"
"114","104","1940.35","Food","expense","Netflix","GPay","Mumbai","Android","15-MAY-24 04.00.00.000000 PM","success"
"115","105","2992.76","Shopping","transfer","Friend Transfer","PhonePe","Delhi","iOS","15-MAY-24 07.00.00.000000 PM","success"
"116","106","2341.79","Bills","expense","Amazon","Paytm","Chennai","Android","15-MAY-24 10.00.00.000000 PM","success"
"117","107","1850.1","Travel","expense","Swiggy","GPay","Bangalore","iOS","16-MAY-24 01.00.00.000000 AM","success"
"118","108","1964.33","Entertainment","expense","Uber","PhonePe","Mumbai","Android","16-MAY-24 04.00.00.000000 AM","success"
"119","109","160.25","Groceries","expense","Netflix","Paytm","Delhi","iOS","16-MAY-24 07.00.00.000000 AM","success"
"120","100","297.99","Food","transfer","Friend Transfer","GPay","Chennai","Android","16-MAY-24 10.00.00.000000 AM","failed"
"121","101","238.84","Shopping","expense","Amazon","PhonePe","Bangalore","iOS","16-MAY-24 01.00.00.000000 PM","success"
"122","102","2424.35","Bills","expense","Swiggy","Paytm","Mumbai","Android","16-MAY-24 04.00.00.000000 PM","success"
"123","103","1946.78","Travel","expense","Uber","GPay","Delhi","iOS","16-MAY-24 07.00.00.000000 PM","success"
"124","104","1724.19","Entertainment","expense","Netflix","PhonePe","Chennai","Android","16-MAY-24 10.00.00.000000 PM","success"
"125","105","1161.16","Groceries","transfer","Friend Transfer","Paytm","Bangalore","iOS","17-MAY-24 01.00.00.000000 AM","success"
"126","106","1673.49","Food","expense","Amazon","GPay","Mumbai","Android","17-MAY-24 04.00.00.000000 AM","success"
"127","107","1373.15","Shopping","expense","Swiggy","PhonePe","Delhi","iOS","17-MAY-24 07.00.00.000000 AM","success"
"128","108","112.36","Bills","expense","Uber","Paytm","Chennai","Android","17-MAY-24 10.00.00.000000 AM","success"
"129","109","2641.94","Travel","expense","Netflix","GPay","Bangalore","iOS","17-MAY-24 01.00.00.000000 PM","success"
"130","100","1220.81","Entertainment","transfer","Friend Transfer","PhonePe","Mumbai","Android","17-MAY-24 04.00.00.000000 PM","failed"
"131","101","1539.84","Groceries","expense","Amazon","Paytm","Delhi","iOS","17-MAY-24 07.00.00.000000 PM","success"
"132","102","1778.08","Food","expense","Swiggy","GPay","Chennai","Android","17-MAY-24 10.00.00.000000 PM","success"
"133","103","1372.77","Shopping","expense","Uber","PhonePe","Bangalore","iOS","18-MAY-24 01.00.00.000000 AM","success"
"134","104","709.66","Bills","expense","Netflix","Paytm","Mumbai","Android","18-MAY-24 04.00.00.000000 AM","success"
"135","105","1588.38","Travel","transfer","Friend Transfer","GPay","Delhi","iOS","18-MAY-24 07.00.00.000000 AM","success"
"136","106","905.15","Entertainment","expense","Amazon","PhonePe","Chennai","Android","18-MAY-24 10.00.00.000000 AM","success"
"137","107","2002.14","Groceries","expense","Swiggy","Paytm","Bangalore","iOS","18-MAY-24 01.00.00.000000 PM","success"
"138","108","637.32","Food","expense","Uber","GPay","Mumbai","Android","18-MAY-24 04.00.00.000000 PM","success"
"139","109","383.83","Shopping","expense","Netflix","PhonePe","Delhi","iOS","18-MAY-24 07.00.00.000000 PM","success"
"140","100","737.91","Bills","transfer","Friend Transfer","Paytm","Chennai","Android","18-MAY-24 10.00.00.000000 PM","failed"
"141","101","2083.02","Travel","expense","Amazon","GPay","Bangalore","iOS","19-MAY-24 01.00.00.000000 AM","success"
"142","102","1751.49","Entertainment","expense","Swiggy","PhonePe","Mumbai","Android","19-MAY-24 04.00.00.000000 AM","success"
"143","103","1926.85","Groceries","expense","Uber","Paytm","Delhi","iOS","19-MAY-24 07.00.00.000000 AM","success"
"144","104","2027.73","Food","expense","Netflix","GPay","Chennai","Android","19-MAY-24 10.00.00.000000 AM","success"
"145","105","210.56","Shopping","transfer","Friend Transfer","PhonePe","Bangalore","iOS","19-MAY-24 01.00.00.000000 PM","success"
"146","106","2995.17","Bills","expense","Amazon","Paytm","Mumbai","Android","19-MAY-24 04.00.00.000000 PM","success"
"147","107","1735.52","Travel","expense","Swiggy","GPay","Delhi","iOS","19-MAY-24 07.00.00.000000 PM","success"
"148","108","157.55","Entertainment","expense","Uber","PhonePe","Chennai","Android","19-MAY-24 10.00.00.000000 PM","success"
"149","109","814.02","Groceries","expense","Netflix","Paytm","Bangalore","iOS","20-MAY-24 01.00.00.000000 AM","success"
"150","100","1194.49","Food","transfer","Friend Transfer","GPay","Mumbai","Android","20-MAY-24 04.00.00.000000 AM","failed"
"151","101","600.78","Shopping","expense","Amazon","PhonePe","Delhi","iOS","20-MAY-24 07.00.00.000000 AM","success"
"152","102","413.55","Bills","expense","Swiggy","Paytm","Chennai","Android","20-MAY-24 10.00.00.000000 AM","success"
"153","103","1354.63","Travel","expense","Uber","GPay","Bangalore","iOS","20-MAY-24 01.00.00.000000 PM","success"
"154","104","1380.88","Entertainment","expense","Netflix","PhonePe","Mumbai","Android","20-MAY-24 04.00.00.000000 PM","success"
"155","105","1775.19","Groceries","transfer","Friend Transfer","Paytm","Delhi","iOS","20-MAY-24 07.00.00.000000 PM","success"
"156","106","1574.31","Food","expense","Amazon","GPay","Chennai","Android","20-MAY-24 10.00.00.000000 PM","success"
"157","107","2251.42","Shopping","expense","Swiggy","PhonePe","Bangalore","iOS","21-MAY-24 01.00.00.000000 AM","success"
"158","108","911.05","Bills","expense","Uber","Paytm","Mumbai","Android","21-MAY-24 04.00.00.000000 AM","success"
"159","109","1474.07","Travel","expense","Netflix","GPay","Delhi","iOS","21-MAY-24 07.00.00.000000 AM","success"
"160","100","1988.93","Entertainment","transfer","Friend Transfer","PhonePe","Chennai","Android","21-MAY-24 10.00.00.000000 AM","failed"
"161","101","2211.68","Groceries","expense","Amazon","Paytm","Bangalore","iOS","21-MAY-24 01.00.00.000000 PM","success"
"162","102","473.57","Food","expense","Swiggy","GPay","Mumbai","Android","21-MAY-24 04.00.00.000000 PM","success"
"163","103","2721.77","Shopping","expense","Uber","PhonePe","Delhi","iOS","21-MAY-24 07.00.00.000000 PM","success"
"164","104","2383.53","Bills","expense","Netflix","Paytm","Chennai","Android","21-MAY-24 10.00.00.000000 PM","success"
"165","105","2014.21","Travel","transfer","Friend Transfer","GPay","Bangalore","iOS","22-MAY-24 01.00.00.000000 AM","success"
"166","106","2074.9","Entertainment","expense","Amazon","PhonePe","Mumbai","Android","22-MAY-24 04.00.00.000000 AM","success"
"167","107","392.67","Groceries","expense","Swiggy","Paytm","Delhi","iOS","22-MAY-24 07.00.00.000000 AM","success"
"168","108","2942.33","Food","expense","Uber","GPay","Chennai","Android","22-MAY-24 10.00.00.000000 AM","success"
"169","109","2527.67","Shopping","expense","Netflix","PhonePe","Bangalore","iOS","22-MAY-24 01.00.00.000000 PM","success"
"170","100","376.59","Bills","transfer","Friend Transfer","Paytm","Mumbai","Android","22-MAY-24 04.00.00.000000 PM","failed"
"171","101","79.7","Travel","expense","Amazon","GPay","Delhi","iOS","22-MAY-24 07.00.00.000000 PM","success"
"172","102","933.12","Entertainment","expense","Swiggy","PhonePe","Chennai","Android","22-MAY-24 10.00.00.000000 PM","success"
"173","103","715.82","Groceries","expense","Uber","Paytm","Bangalore","iOS","23-MAY-24 01.00.00.000000 AM","success"
"174","104","2037.1","Food","expense","Netflix","GPay","Mumbai","Android","23-MAY-24 04.00.00.000000 AM","success"
"175","105","2275.72","Shopping","transfer","Friend Transfer","PhonePe","Delhi","iOS","23-MAY-24 07.00.00.000000 AM","success"
"176","106","399.4","Bills","expense","Amazon","Paytm","Chennai","Android","23-MAY-24 10.00.00.000000 AM","success"
"177","107","2419.52","Travel","expense","Swiggy","GPay","Bangalore","iOS","23-MAY-24 01.00.00.000000 PM","success"
"178","108","682.3","Entertainment","expense","Uber","PhonePe","Mumbai","Android","23-MAY-24 04.00.00.000000 PM","success"
"179","109","1831.74","Groceries","expense","Netflix","Paytm","Delhi","iOS","23-MAY-24 07.00.00.000000 PM","success"
"180","100","1925.18","Food","transfer","Friend Transfer","GPay","Chennai","Android","23-MAY-24 10.00.00.000000 PM","failed"
"181","101","2817.98","Shopping","expense","Amazon","PhonePe","Bangalore","iOS","24-MAY-24 01.00.00.000000 AM","success"
"182","102","1923.93","Bills","expense","Swiggy","Paytm","Mumbai","Android","24-MAY-24 04.00.00.000000 AM","success"
"183","103","475.9","Travel","expense","Uber","GPay","Delhi","iOS","24-MAY-24 07.00.00.000000 AM","success"
"184","104","996.57","Entertainment","expense","Netflix","PhonePe","Chennai","Android","24-MAY-24 10.00.00.000000 AM","success"
"185","105","2551.7","Groceries","transfer","Friend Transfer","Paytm","Bangalore","iOS","24-MAY-24 01.00.00.000000 PM","success"
"186","106","315.03","Food","expense","Amazon","GPay","Mumbai","Android","24-MAY-24 04.00.00.000000 PM","success"
"187","107","352.39","Shopping","expense","Swiggy","PhonePe","Delhi","iOS","24-MAY-24 07.00.00.000000 PM","success"
"188","108","624.19","Bills","expense","Uber","Paytm","Chennai","Android","24-MAY-24 10.00.00.000000 PM","success"
"189","109","1570.72","Travel","expense","Netflix","GPay","Bangalore","iOS","25-MAY-24 01.00.00.000000 AM","success"
"190","100","62.45","Entertainment","transfer","Friend Transfer","PhonePe","Mumbai","Android","25-MAY-24 04.00.00.000000 AM","failed"
"191","101","2844.08","Groceries","expense","Amazon","Paytm","Delhi","iOS","25-MAY-24 07.00.00.000000 AM","success"
"192","102","1213.83","Food","expense","Swiggy","GPay","Chennai","Android","25-MAY-24 10.00.00.000000 AM","success"
"193","103","1060.89","Shopping","expense","Uber","PhonePe","Bangalore","iOS","25-MAY-24 01.00.00.000000 PM","success"
"194","104","105.6","Bills","expense","Netflix","Paytm","Mumbai","Android","25-MAY-24 04.00.00.000000 PM","success"
"195","105","121.45","Travel","transfer","Friend Transfer","GPay","Delhi","iOS","25-MAY-24 07.00.00.000000 PM","success"
"196","106","1097.23","Entertainment","expense","Amazon","PhonePe","Chennai","Android","25-MAY-24 10.00.00.000000 PM","success"
"197","107","826.38","Groceries","expense","Swiggy","Paytm","Bangalore","iOS","26-MAY-24 01.00.00.000000 AM","success"
"198","108","2269.53","Food","expense","Uber","GPay","Mumbai","Android","26-MAY-24 04.00.00.000000 AM","success"
"199","109","1970.06","Shopping","expense","Netflix","PhonePe","Delhi","iOS","26-MAY-24 07.00.00.000000 AM","success"
"200","100","2688.23","Bills","transfer","Friend Transfer","Paytm","Chennai","Android","26-MAY-24 10.00.00.000000 AM","failed"
"201","101","371.76","Travel","expense","Amazon","GPay","Bangalore","iOS","26-MAY-24 01.00.00.000000 PM","success"
"202","102","1765.22","Entertainment","expense","Swiggy","PhonePe","Mumbai","Android","26-MAY-24 04.00.00.000000 PM","success"
"203","103","1040.67","Groceries","expense","Uber","Paytm","Delhi","iOS","26-MAY-24 07.00.00.000000 PM","success"
"204","104","1479.83","Food","expense","Netflix","GPay","Chennai","Android","26-MAY-24 10.00.00.000000 PM","success"
"205","105","231.59","Shopping","transfer","Friend Transfer","PhonePe","Bangalore","iOS","27-MAY-24 01.00.00.000000 AM","success"
"206","106","2826.5","Bills","expense","Amazon","Paytm","Mumbai","Android","27-MAY-24 04.00.00.000000 AM","success"
"207","107","762.94","Travel","expense","Swiggy","GPay","Delhi","iOS","27-MAY-24 07.00.00.000000 AM","success"
"208","108","774.15","Entertainment","expense","Uber","PhonePe","Chennai","Android","27-MAY-24 10.00.00.000000 AM","success"
"209","109","2013.18","Groceries","expense","Netflix","Paytm","Bangalore","iOS","27-MAY-24 01.00.00.000000 PM","success"
"210","100","606.93","Food","transfer","Friend Transfer","GPay","Mumbai","Android","27-MAY-24 04.00.00.000000 PM","failed"
"211","101","499.49","Shopping","expense","Amazon","PhonePe","Delhi","iOS","27-MAY-24 07.00.00.000000 PM","success"
"212","102","2069.4","Bills","expense","Swiggy","Paytm","Chennai","Android","27-MAY-24 10.00.00.000000 PM","success"
"213","103","2784.98","Travel","expense","Uber","GPay","Bangalore","iOS","28-MAY-24 01.00.00.000000 AM","success"
"214","104","1899.98","Entertainment","expense","Netflix","PhonePe","Mumbai","Android","28-MAY-24 04.00.00.000000 AM","success"
"215","105","2935.51","Groceries","transfer","Friend Transfer","Paytm","Delhi","iOS","28-MAY-24 07.00.00.000000 AM","success"
"216","106","1763.38","Food","expense","Amazon","GPay","Chennai","Android","28-MAY-24 10.00.00.000000 AM","success"
"217","107","738.6","Shopping","expense","Swiggy","PhonePe","Bangalore","iOS","28-MAY-24 01.00.00.000000 PM","success"
"218","108","74.16","Bills","expense","Uber","Paytm","Mumbai","Android","28-MAY-24 04.00.00.000000 PM","success"
"219","109","2957.72","Travel","expense","Netflix","GPay","Delhi","iOS","28-MAY-24 07.00.00.000000 PM","success"
"220","100","584.92","Entertainment","transfer","Friend Transfer","PhonePe","Chennai","Android","28-MAY-24 10.00.00.000000 PM","failed"
"221","101","2087.35","Groceries","expense","Amazon","Paytm","Bangalore","iOS","29-MAY-24 01.00.00.000000 AM","success"
"222","102","236.76","Food","expense","Swiggy","GPay","Mumbai","Android","29-MAY-24 04.00.00.000000 AM","success"
"223","103","1156.16","Shopping","expense","Uber","PhonePe","Delhi","iOS","29-MAY-24 07.00.00.000000 AM","success"
"224","104","588.55","Bills","expense","Netflix","Paytm","Chennai","Android","29-MAY-24 10.00.00.000000 AM","success"
"225","105","432.19","Travel","transfer","Friend Transfer","GPay","Bangalore","iOS","29-MAY-24 01.00.00.000000 PM","success"
"226","106","151.15","Entertainment","expense","Amazon","PhonePe","Mumbai","Android","29-MAY-24 04.00.00.000000 PM","success"
"227","107","1980.36","Groceries","expense","Swiggy","Paytm","Delhi","iOS","29-MAY-24 07.00.00.000000 PM","success"
"228","108","1492.2","Food","expense","Uber","GPay","Chennai","Android","29-MAY-24 10.00.00.000000 PM","success"
"229","109","1306.63","Shopping","expense","Netflix","PhonePe","Bangalore","iOS","30-MAY-24 01.00.00.000000 AM","success"
